[12:42:54] [main/INFO]: Found mod file CyclopsCore-1.19.2-1.18.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file DarkerDepths-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file DarkUtilities-Forge-1.19.2-13.1.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Decorative Blocks-forge-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file defaultoptions-forge-1.19-15.0.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file deuf-1.19.2-1.3.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file domesticationinnovation-1.6.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file domum_ornamentum-1.19-1.0.76-ALPHA-universal.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file dusk-1.19.2-2.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file dyed-forge-1.19.4-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file dynview-1.19.1-2.9.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file ecologics-forge-1.19.2-2.1.11.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file effortlessbuilding-1.19-2.40.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file EightsEconomyP-1.19-FORGE-1.1.0-all.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file elevatorid-1.19.2-1.8.9.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file EnderStorage-1.19.2-2.10.1.181-universal.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file engineersdecor-1.19.2-forge-1.3.28.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file ensorcellation-1.19.2-4.2.0.14.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file entityculling-forge-1.6.1-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file environmental-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file EquipmentCompare-1.19.2-forge-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file everycomp-1.19.2-2.4.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file extendedflywheels-1.2.5-1.19.2-0.5.f.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file fairylights-6.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Fallingleaves-1.19.1-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file fancymenu_forge_2.14.7_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file farsight-1.19.2-2.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FastFurnace-1.19.2-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FastSuite-1.19.2-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FastWorkbench-1.19.2-7.1.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FlowerPatch-forge-1.19.2-2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file FluxNetworks-1.19.2-7.1.3.12.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
